Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Norman,41,63,42,32,38,18,81,82,63,32,68,52,42,82,62,84,82,26,48,91,58,11,93,32,76,17,46,64,89,79,26,81,10,51,50,83,78,53,85,21,92,30,66,99,93,65,18,38,27,100,16,45,56,98,84,64,0,91,31,87,84,43,63,3,34,90,64,95,62,66,67,95,91
Pryce,1,71,72,47,36,17,74,76,16,32,26,41,73,13,35,47,70,55,24,54,93,22,67,10,38,84,53,31,70,90,39,76,37,7,42,65,57,66,61,18,53,67,15,61,49,27,13,63,55,86,3,39,22,78,74,13,9,0,39,75,55,76,20,0,37,41,68,89,63,65,45,9,100
Red,14,59,60,65,65,51,90,65,46,13,74,67,44,73,40,71,76,84,42,74,87,69,90,48,10,97,35,64,64,60,55,87,76,43,42,60,67,75,15,31,94,52,77,81,65,63,47,56,24,98,25,65,74,92,73,27,69,61,0,94,87,41,33,3,56,66,91,88,89,59,92,50,85
Roark,10,25,15,37,9,2,38,50,61,23,73,20,59,5,35,32,19,94,2,0,16,1,50,1,15,21,15,1,45,13,43,1,14,25,18,15,8,35,4,3,11,0,7,12,6,7,0,6,2,44,1,28,0,20,62,1,13,25,6,0,44,13,1,1,12,38,24,60,0,1,37,42,21
Roxanne,4,33,8,35,9,3,65,67,33,19,35,13,59,20,32,20,24,76,3,2,9,4,56,62,6,6,32,4,20,60,47,0,5,11,14,19,12,11,0,14,63,2,19,27,32,97,3,15,30,72,2,55,97,23,65,11,16,45,13,56,0,1,3,0,19,10,20,93,76,98,55,36,37
Roxie,16,5,49,47,49,48,75,76,65,55,63,99,39,45,82,85,94,96,63,88,16,19,88,69,25,9,40,88,65,93,7,91,19,30,13,40,33,24,15,41,66,0,94,46,86,82,46,87,33,97,66,63,64,71,10,17,57,24,59,87,99,0,67,6,40,55,91,69,78,35,61,66,73
Sabrina,23,56,35,97,96,55,36,44,32,2,95,100,46,22,83,96,91,78,99,76,84,48,80,30,34,78,32,80,51,54,73,79,91,17,21,58,35,72,33,97,93,42,42,81,45,84,99,100,43,78,26,69,93,73,77,19,37,80,67,99,97,33,0,18,33,98,99,78,99,77,56,20,100
Shauntal,54,84,100,96,95,87,69,97,99,96,100,100,99,69,100,99,98,100,100,100,95,82,97,100,99,89,98,99,73,80,97,89,91,32,98,97,98,100,82,96,98,65,100,100,100,99,100,100,73,97,97,83,98,100,96,70,97,100,97,99,100,94,82,0,90,100,100,100,100,82,88,91,100
Skyla,55,27,96,48,65,60,78,65,93,84,61,95,63,11,46,69,60,96,100,95,73,92,96,89,61,99,32,54,78,89,89,96,80,64,54,68,74,85,13,37,62,55,26,99,72,98,100,86,17,84,59,21,18,90,66,1,66,63,44,88,81,60,67,10,0,100,100,60,83,44,35,43,98
Steven,17,29,19,54,15,12,46,72,77,38,74,34,32,20,33,48,34,83,66,16,16,21,74,18,6,8,0,13,16,35,35,11,23,21,2,6,4,16,10,9,34,0,25,40,23,60,35,9,3,77,0,32,95,66,83,7,10,59,34,62,90,45,2,0,0,0,48,59,30,70,42,81,12
Tate,4,7,4,63,2,0,4,49,1,1,82,94,26,26,18,25,6,34,100,70,17,6,78,0,5,3,0,11,9,24,31,12,2,3,4,9,4,20,28,45,23,1,33,50,50,22,98,92,1,13,3,0,10,19,33,5,36,32,9,76,80,9,1,0,0,52,0,72,43,0,65,81,74
Volkner,12,43,83,17,31,62,1,29,63,7,27,90,11,63,64,64,67,44,63,62,7,20,79,4,32,20,23,21,35,20,8,46,2,14,10,25,19,31,1,3,17,7,95,60,9,19,50,100,1,99,31,2,1,53,2,31,5,11,12,40,7,31,22,0,40,41,28,0,10,9,61,33,77
Wake,3,6,51,48,57,6,98,52,2,0,98,4,23,21,78,71,84,87,16,6,90,66,36,68,12,78,77,0,18,57,19,4,52,27,38,34,44,64,2,36,58,73,39,50,50,50,2,5,17,66,0,62,68,29,28,27,38,37,11,100,24,22,1,0,17,70,57,90,0,58,8,71,56
Wallace,20,82,80,85,98,70,99,98,25,17,100,93,95,49,92,96,89,99,90,32,74,82,86,62,23,92,58,8,93,78,92,35,85,61,84,86,61,46,24,58,69,74,40,84,29,69,91,94,14,96,31,29,71,89,90,12,34,35,41,99,2,65,23,18,56,30,100,91,42,0,25,6,96
Wattson,30,67,67,49,49,63,55,82,25,69,46,65,64,94,83,77,81,86,21,96,89,13,85,68,54,38,22,69,45,72,44,60,8,37,40,61,44,29,5,2,83,6,99,39,16,64,0,98,48,99,59,18,68,98,58,23,33,55,8,63,45,39,44,12,65,58,35,39,92,75,0,69,97
Whitney,18,96,34,39,6,0,86,53,36,20,74,6,77,48,27,76,73,27,0,90,63,8,99,13,21,35,16,21,73,91,37,31,0,38,32,84,93,79,16,17,82,34,21,100,65,87,0,0,67,93,54,20,27,96,100,7,5,91,50,58,64,34,80,9,57,19,19,67,29,94,31,0,98
Winona,22,0,35,23,30,57,9,16,60,68,66,13,20,1,25,67,50,97,84,72,57,52,53,35,12,59,2,35,15,37,79,86,40,1,8,21,14,12,15,41,54,63,1,22,1,27,94,68,4,49,0,50,10,79,18,24,9,0,15,79,63,27,0,0,2,88,26,23,44,4,3,2,0
